Fecha	Temperatura
25/10/2014	19.7
26/10/2014	20.0
27/10/2014	19.7
28/10/2014	19.5
29/10/2014	19.8
30/10/2014	19.9
31/10/2014	19.9
01/11/2014	19.8
02/11/2014	19.6
03/11/2014	19.4
04/11/2014	18.5
05/11/2014	17.8
06/11/2014	17.5
07/11/2014	17.6
08/11/2014	17.9
09/11/2014	17.8
10/11/2014	17.4
11/11/2014	18.0
12/11/2014	17.1
13/11/2014	17.5
14/11/2014	17.5
15/11/2014	17.4
16/11/2014	17.0
17/11/2014	16.8
18/11/2014	16.0
19/11/2014	16.0
20/11/2014	16.1
21/11/2014	16.3
22/11/2014	16.6
23/11/2014	16.8
24/11/2014	17.0
25/11/2014	17.1
26/11/2014	16.7
27/11/2014	16.8
28/11/2014	16.3
29/11/2014	16.6
30/11/2014	16.9
01/12/2014	16.8
02/12/2014	16.2
03/12/2014	15.8
04/12/2014	16.3
05/12/2014	15.2
06/12/2014	15.2
07/12/2014	15.1
08/12/2014	14.5
09/12/2014	14.7
10/12/2014	15.0
11/12/2014	15.1
12/12/2014	15.3
13/12/2014	15.1
14/12/2014	15.4
15/12/2014	15.2
16/12/2014	15.0
17/12/2014	15.0
18/12/2014	15.0
19/12/2014	15.0
20/12/2014	15.0
21/12/2014	15.1
22/12/2014	14.9
23/12/2014	14.4
24/12/2014	14.6
25/12/2014	14.5
26/12/2014	15.0
27/12/2014	14.4
28/12/2014	14.1
29/12/2014	13.9
30/12/2014	13.8
31/12/2014	12.9
01/01/2015	13.4
02/01/2015	13.5
03/01/2015	13.5
04/01/2015	13.8
05/01/2015	13.7
06/01/2015	13.3
07/01/2015	13.2
08/01/2015	13.2
09/01/2015	13.3
10/01/2015	13.4
11/01/2015	13.6
12/01/2015	13.4
13/01/2015	13.4
14/01/2015	13.9
15/01/2015	13.6
16/01/2015	13.1
17/01/2015	13.0
18/01/2015	12.8
19/01/2015	12.2
20/01/2015	12.3
21/01/2015	12.1
22/01/2015	12.3
23/01/2015	12.7
24/01/2015	11.8
25/01/2015	12.0
26/01/2015	12.4
27/01/2015	12.0
28/01/2015	11.3
29/01/2015	11.5
30/01/2015	12.0
31/01/2015	11.7
01/02/2015	11.2
02/02/2015	10.8
03/02/2015	12.2
04/02/2015	11.6
05/02/2015	11.7
06/02/2015	11.1
07/02/2015	11.1
08/02/2015	11.3
09/02/2015	11.8
10/02/2015	11.6
11/02/2015	11.8
12/02/2015	11.4
13/02/2015	11.4
14/02/2015	11.6
15/02/2015	11.6
16/02/2015	11.7
17/02/2015	11.2
18/02/2015	11.4
19/02/2015	11.4
20/02/2015	11.6
21/02/2015	11.4
22/02/2015	11.5
23/02/2015	11.3
24/02/2015	11.3
25/02/2015	11.4
26/02/2015	11.4
27/02/2015	11.4
28/02/2015	11.6
01/03/2015	12.0
02/03/2015	12.1
03/03/2015	11.8
04/03/2015	11.8
05/03/2015	11.5
06/03/2015	11.3
